action,x,y,origin,button,key,micros,note
# P26: switch to the SwiftCrossUI tab and let AsyncImage finish.
#
# The live tab. The image has to arrive without the tab strip going dead, which
# is what the click counter beside it is for -- pressing it during the load and
# seeing it rise is the proof that the fetch is off the layout path, and it is
# the one thing a screenshot cannot show on its own.
#
# P26：切換至 SwiftCrossUI 分頁，並等待 AsyncImage 完成。
#
# 這是實際執行的分頁。影像必須在分頁列不失去反應的前提下抵達，而其旁的點擊計數器正是為此而設——
# 在載入期間按下它並看到數字上升，即為「該次抓取不在 layout 路徑上」的證明，也是截圖本身唯一無法
# 呈現的東西。
click,262,21,,left,,,the SwiftCrossUI tab
sleep,,,,,,300000,
click,357,309,,left,,,press the counter while the image is still loading
sleep,,,,,,200000,
click,357,309,,left,,,and again
sleep,,,,,,3000000,let the fetch finish
