action,x,y,origin,button,key,micros,note,platform
# Measured 2026-09-02 from testapp/output/screenshots/<pn>-ios-final-20260902-*.png
# Device: iPhone 16 simulator (IOS_SIM_DEVICE=swift-cross-ui) -- window 393 x 852 pt.
# Capture was 1179 x 2556 px, i.e. 3:1. Every coordinate below is px/3, in points,
# which is what the XCUITest runner normalises against window.frame.
# UNVERIFIED: coordinates were read off a capture of the running app; no row here
# has been replayed and seen to have the effect it predicts.
#
# P1: one tap only. The dialog it opens is a presented view controller and the
# iOS runner has no key it can send to dismiss one -- no Escape row exists here
# because XCUITest rows are taps and there is no measured coordinate for a
# sheet that did not exist when the capture was taken. The file therefore stops
# at the open and the evidence is the status line plus a screenshot.
click,196,336,client,left,,,Open file dialog -- the Open line must stop saying "No open result yet",ios
sleep,,,,,,1000000,let the presentation animate in,ios
