action,x,y,origin,button,key,micros,note,platform
# Measured 2026-09-02 from testapp/output/screenshots/<pn>-ios-final-20260902-*.png
# Device: iPhone 16 simulator (IOS_SIM_DEVICE=swift-cross-ui) -- window 393 x 852 pt.
# Capture was 1179 x 2556 px, i.e. 3:1. Every coordinate below is px/3, in points,
# which is what the XCUITest runner normalises against window.frame.
# UNVERIFIED: coordinates were read off a capture of the running app; no row here
# has been replayed and seen to have the effect it predicts.
#
# P31: focus and keyboard are the point of this app and neither is reachable --
# the iOS runner rejects key rows so Tab Space Return Escape and Ctrl+Q cannot be
# sent. What a tap can do is press the button and move the two controls beside it.
click,40,465,client,left,,,Button 0 -- the label must become Button 1,ios
sleep,,,,,,400000,let the label redraw,ios
click,130,464,client,left,,,the switch -- it must flip on,ios
sleep,,,,,,400000,let the switch animate,ios
mousedown,226,464,client,left,,,take hold of the slider knob,ios
mouseup,330,464,client,left,,,drag it right -- the slider must end near its maximum,ios
sleep,,,,,,500000,let the slider settle,ios
